urls,domain,ip,at,length_url,depth_url,double_slash,http_https,shortening_services,hyphen,dns,age_domain,end_period_domain,country
https://almardoof.com/Webmail/56/Webmail/webmail.php,almardoof.com,1,0,52,4,0,0,0,0,1,7.0,2024-11,Netherlands
https://bafybeicw5n36ionzo7ijatn32v2vwpyhsxm5wpmq2wcppwbohfmymdlu3y.ipfs.nftstorage.link/vopmlk70.html,bafybeicw5n36ionzo7ijatn32v2vwpyhsxm5wpmq2wcppwbohfmymdlu3y.ipfs.nftstorage.link,1,0,102,1,0,0,0,0,1,2.0,2028-02,Belarus
http://extratorrent.cc/torrent/4190536/AOMEI+Backupper+Technician+%2B+Server+Edition+2.8.0+%2B+Patch+%2B+Key+%2B+100%25+Working.html,extratorrent.cc,0,0,132,3,0,0,0,0,0,13.0,2024-12,Canada
https://onlineservice29.godaddysites.com/,onlineservice29.godaddysites.com,1,0,41,1,0,0,0,0,1,10.0,2032-11,Russia
http://deadspin.com/5746724/is-erin-andrews-reebok-endorsement-deal-journalistically-unethical,deadspin.com,1,0,94,2,0,0,0,0,1,22.0,2025-10,Germany
http://torcache.net/torrent/A25DED79C3770EDBEB7C9361353D31D148DD06DB.torrent?title=[kickass.to]maga.maharaju.2015.telugu.dvdscr.mp4.700mb,torcache.net,1,0,137,2,0,0,0,0,1,13.0,2025-04,Canada
http://twitter.com/home?status=%E3%83%8C%E3%81%91%E3%82%8B%EF%BC%81%E3%80%90%E3%82%B3%E3%82%B9%E3%83%97%E3%83%AC%E3%83%BB%E5%88%B6%E6%9C%8D%E7%B3%BB%E3%80%91+http%3A%2F%2Fero-video.net%2Ft%2FFwcuKUf6Q7F973sm+%E5%8F%AF%E6%84%9B%E3%81%84%E3%83%9F%E3%83%8B%E3%82%B9%E3%82%AB%E3%83%A1%E3%82%A4%E3%83%89%E3%81%95%E3%82%93+%23ero+%23douga+%23agesage,twitter.com,1,0,343,1,0,0,0,0,1,24.0,2025-01,Spain
https://pub-8a8ad399f4264bf38f48c230fff96aff.r2.dev/web.html,pub-8a8ad399f4264bf38f48c230fff96aff.r2.dev,1,0,60,1,0,0,0,1,1,2.0,2025-08,Netherlands
http://bdnews24.com/bangladesh/2015/05/12/human-traffickers-held-with-fake-passports-in-ctg,bdnews24.com,1,0,91,5,0,0,0,0,1,20.0,2031-08,Spain
https://trytt12.weebly.com/,trytt12.weebly.com,1,0,27,1,0,0,0,0,1,18.0,2025-03,Netherlands
http://akhbarelyom.com/news/newdetails/411497/1/%D9%85%D8%B5%D8%B1-%D8%A7%D9%84%D8%B9%D8%B7%D8%A7%D8%A1-%D8%AA.html,akhbarelyom.com,1,0,115,5,0,0,0,0,1,22.0,2033-12,Spain
https://utadc.com/,utadc.com,1,0,18,1,0,0,0,0,1,0.0,2025-08,Netherlands
https://matemcskilpogin.gitbook.io/us,matemcskilpogin.gitbook.io,1,0,37,1,0,0,0,0,1,10.0,2025-03,Russia
https://transxkvv.world/,transxkvv.world,1,0,24,1,0,0,0,0,1,0.0,2025-08,Russia
https://campsite.bio/syllvia.londry,campsite.bio,1,0,35,1,0,0,0,0,1,7.0,2025-05,Netherlands
https://docs.google.com/presentation/d/e/2PACX-1vTN0GFdgteTARVPf1RBXsn89GfnS2TKIuu2BlAF0R5xeHYZfWzKzBDFt4IAjZPSJrd6JFbxbMedmW4a/pub?start=false&loop=false&delayms=3000,docs.google.com,1,0,167,5,0,0,0,0,1,26.0,2028-09,Belarus
http://mylust.com/videos/235751/sexy-hentai-chick-gets-her-huge-succulent-tits-squeezed/,mylust.com,1,0,88,4,0,0,1,0,1,19.0,2026-11,Spain
http://distractify.com/post/related/id/54b985434a0c4b136ee6813d/skip/20/limit/10/back/0,distractify.com,1,0,87,10,0,0,0,0,1,11.0,2025-01,United_States
http://fazenda.gov.br/divulgacao/agenda/agenda_dia_view?year:int=2015&month:int=3&day:int=10,fazenda.gov.br,0,0,92,3,0,0,0,0,0,29.0,,Australia
http://olx.ro/i2/electronice-si-electrocasnice/telefoane-mobile/lg/electronice-si-electrocasnice/telefoane-mobile/lg,olx.ro,1,0,116,7,0,0,0,0,1,18.0,2025-08,Canada
